"ID","LINHA","COLUNA","CODIGO_DENTISTA","HORA","USUARIO","MODIFICADO","DIA_SEMANA","NUMERO_SEMANA","INCLUIDO","EXCLUIDO","DATA_UNICA","CODIGO_ESPECIALIDADE"
1,6,2,"20",08:00:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,2020-10-29,,
2,7,2,"20",08:15:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,2021-02-27,,
3,8,2,"20",08:30:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,2021-02-27,,
4,9,2,"20",08:45:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,2021-02-27,,
5,10,2,"20",09:00:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,2021-02-27,,
6,11,2,"20",09:15:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,2021-02-27,,
7,12,2,"20",09:30:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,2021-02-27,,
8,13,2,"20",09:45:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,2021-02-27,,
9,14,2,"20",10:00:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,2021-02-27,,
10,15,2,"20",10:15:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,2021-02-27,,
11,16,2,"20",10:30:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,2021-02-27,,
12,17,2,"20",10:45:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,2021-02-27,,
13,18,2,"20",11:00:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,2021-02-27,,
14,19,2,"20",11:15:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,2021-02-27,,
15,20,2,"20",11:30:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,2021-02-27,,
16,21,2,"20",11:45:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,2020-10-29,,
17,28,2,"20",13:30:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,2020-10-29,,
18,29,2,"20",13:45:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,2021-02-27,,
19,30,2,"20",14:00:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,2021-02-27,,
20,31,2,"20",14:15:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,2021-02-27,,
21,32,2,"20",14:30:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,2021-02-27,,
22,33,2,"20",14:45:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,2021-02-27,,
23,34,2,"20",15:00:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,2021-02-27,,
24,35,2,"20",15:15:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,2021-02-27,,
25,36,2,"20",15:30:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,2021-02-27,,
26,37,2,"20",15:45:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,2021-02-27,,
27,38,2,"20",16:00:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,2021-02-27,,
28,39,2,"20",16:15:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,2021-02-27,,
29,40,2,"20",16:30:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,2021-02-27,,
30,41,2,"20",16:45:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,2021-02-27,,
31,42,2,"20",17:00:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,2021-02-27,,
32,43,2,"20",17:15:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,2021-02-27,,
33,44,2,"20",17:30:00,HELLEN,2020-10-28,TERCA,2,2020-10-28,2021-01-28,,
34,28,3,"20",13:30:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2020-10-29,,
35,29,3,"20",13:45:00,HELLEN,2020-10-28,QUARTA,3,2020-10-28,2021-02-27,,
